Break (Cursor) : Flexure stress at Break (Cursor),"769.11438",MPa
Modulus (Automatic Young's) : Modulus (Automatic Young's),"31220.30931",MPa
Specimen properties : Support span,"125.00000",mm
Specimen properties : Thickness,"4.11000",mm
Specimen properties : Width,"12.86000",mm
Specimen properties : Specimen label,"2A"

Time,Extension,Load,Flexure stress,Flexure strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"34.80000","3.11650","174.73990","150.82341","0.00492"
"34.90000","3.12485","175.47043","151.45395","0.00493"
"35.00000","3.13312","175.56523","151.53578","0.00494"
"35.10000","3.14148","175.98561","151.89862","0.00496"
"35.20000","3.14990","176.67342","152.49229","0.00497"
"35.30000","3.15824","177.08629","152.84865","0.00498"
"35.40000","3.16661","177.55170","153.25037","0.00500"
"35.50000","3.17490","178.29086","153.88835","0.00501"
"35.60000","3.18319","178.63231","154.18307","0.00502"
"35.70000","3.19158","179.24805","154.71454","0.00504"
"35.80000","3.19986","179.77490","155.16928","0.00505"
"35.90000","3.20812","180.02216","155.38269","0.00506"
"36.00000","3.21651","180.26617","155.59331","0.00508"
"36.10000","3.22492","180.96918","156.20009","0.00509"
"36.20000","3.23323","181.42476","156.59332","0.00510"
"36.30000","3.24158","182.03578","157.12071","0.00512"
"36.40000","3.24988","182.74789","157.73535","0.00513"
"36.50000","3.25823","182.84641","157.82039","0.00514"
"36.60000","3.26654","183.04160","157.98886","0.00516"
"36.70000","3.27481","183.79597","158.63998","0.00517"
"36.80000","3.28317","183.92570","158.75197","0.00518"
"36.90000","3.29155","184.64034","159.36879","0.00519"
"37.00000","3.29989","185.11545","159.77887","0.00521"
"37.10000","3.30825","185.73654","160.31496","0.00522"
"37.20000","3.31661","186.25037","160.75845","0.00523"
"37.30000","3.32489","186.62871","161.08501","0.00525"
"37.40000","3.33319","186.99190","161.39848","0.00526"
"37.50000","3.34151","187.52975","161.86273","0.00527"
"37.60000","3.34987","187.98177","162.25287","0.00529"
"37.70000","3.35820","188.49554","162.69633","0.00530"
"37.80000","3.36656","188.65479","162.83377","0.00531"
"37.90000","3.37485","189.03149","163.15892","0.00533"
"38.00000","3.38322","189.99335","163.98914","0.00534"
"38.10000","3.39162","190.00919","164.00281","0.00535"
"38.20000","3.39985","190.83258","164.71350","0.00537"
"38.30000","3.40816","191.22884","165.05553","0.00538"
"38.40000","3.41653","191.62529","165.39771","0.00539"
"38.50000","3.42485","191.93173","165.66222","0.00541"
"38.60000","3.43322","192.36784","166.03864","0.00542"
"38.70000","3.44154","192.77547","166.39047","0.00543"
"38.80000","3.44988","193.27060","166.81783","0.00544"
"38.90000","3.45823","193.99823","167.44588","0.00546"
